queue_length,doctors_available,avg_consult_time,emergency_cases,department,time_of_day,weekday,patient_priority,consultation_complexity,is_peak_hour,load_ratio,emergency_ratio,actual_wait_time
36,1,14.16,0,Neurology,morning,Thursday,urgent,routine,1,36.0,0.0,486.99
19,3,13.73,0,Emergency,night,Thursday,normal,routine,0,6.33,0.0,92.86
23,5,17.6,1,Emergency,morning,Monday,urgent,moderate,1,4.6,0.043,96.37
27,5,18.94,1,Ophthalmology,afternoon,Wednesday,normal,moderate,1,5.4,0.037,156.3
27,4,15.45,0,General Medicine,morning,Saturday,urgent,complex,0,6.75,0.0,88.54
29,1,25.13,0,Psychiatry,afternoon,Friday,normal,moderate,1,29.0,0.0,874.51
22,1,21.42,0,Psychiatry,morning,Friday,normal,routine,1,22.0,0.0,568.13
31,4,14.16,0,ENT,morning,Friday,normal,complex,1,7.75,0.0,135.72
21,4,8.61,1,ENT,afternoon,Saturday,normal,routine,0,5.25,0.048,54.21
31,5,15.14,2,Emergency,afternoon,Thursday,normal,moderate,1,6.2,0.065,128.92
36,4,17.7,0,Orthopedics,morning,Monday,normal,moderate,1,9.0,0.0,190.78
12,3,18.61,1,Neurology,morning,Friday,normal,routine,1,4.0,0.083,95.92
20,1,10.28,0,Orthopedics,afternoon,Monday,normal,moderate,1,20.0,0.0,291.4
17,4,15.28,0,Orthopedics,afternoon,Friday,normal,moderate,1,4.25,0.0,81.6
14,1,23.56,0,Psychiatry,evening,Tuesday,normal,routine,0,14.0,0.0,332.45
20,5,6.44,0,Dermatology,afternoon,Friday,normal,routine,1,4.0,0.0,31.65
23,5,7.91,0,Pediatrics,morning,Wednesday,normal,routine,1,4.6,0.0,41.43
19,4,11.37,1,ENT,afternoon,Wednesday,normal,routine,1,4.75,0.053,79.95
15,5,22.82,0,Radiology,morning,Wednesday,urgent,complex,1,3.0,0.0,72.72
7,1,10.18,0,Dermatology,afternoon,Saturday,normal,moderate,0,7.0,0.0,80.77
17,5,7.62,0,Dermatology,night,Sunday,normal,routine,0,3.4,0.0,25.74
14,2,13.96,0,Ophthalmology,evening,Monday,normal,moderate,0,7.0,0.0,92.3
9,1,10.58,0,Ophthalmology,night,Wednesday,normal,routine,0,9.0,0.0,100.02
13,3,5.79,1,Dermatology,evening,Wednesday,normal,routine,0,4.33,0.077,29.09
37,3,15.11,1,ENT,morning,Thursday,normal,complex,1,12.33,0.027,232.52
23,2,9.82,0,Orthopedics,evening,Friday,urgent,routine,0,11.5,0.0,90.65
4,3,12.61,0,Gynecology,evening,Friday,normal,routine,0,1.33,0.0,19.29
23,4,17.74,0,Orthopedics,morning,Friday,normal,moderate,1,5.75,0.0,129.16
21,1,14.0,1,Radiology,afternoon,Wednesday,urgent,moderate,1,21.0,0.048,321.33
26,2,13.39,0,Radiology,evening,Wednesday,normal,moderate,0,13.0,0.0,186.42
29,5,15.04,0,Cardiology,night,Thursday,urgent,routine,0,5.8,0.0,72.22
21,4,8.55,0,Pediatrics,night,Wednesday,normal,routine,0,5.25,0.0,44.83
29,1,20.82,0,Emergency,morning,Wednesday,normal,complex,1,29.0,0.0,759.68
35,4,6.97,1,Dermatology,afternoon,Thursday,normal,routine,1,8.75,0.029,85.31
23,5,12.47,0,Orthopedics,afternoon,Thursday,normal,routine,1,4.6,0.0,68.64
17,1,10.36,0,Ophthalmology,evening,Thursday,normal,moderate,0,17.0,0.0,152.89
5,5,6.24,0,Dermatology,night,Wednesday,normal,routine,0,1.0,0.0,6.67
20,5,12.77,0,Neurology,evening,Sunday,normal,routine,0,4.0,0.0,51.38
26,5,11.01,0,Orthopedics,night,Friday,normal,routine,0,5.2,0.0,59.37
35,5,19.28,0,Psychiatry,afternoon,Wednesday,normal,routine,1,7.0,0.0,160.94
21,4,20.35,0,Cardiology,night,Thursday,normal,moderate,0,5.25,0.0,109.43
26,4,14.69,1,Emergency,morning,Friday,normal,routine,1,6.5,0.038,135.42
15,4,19.44,0,Psychiatry,morning,Monday,normal,routine,1,3.75,0.0,86.03
14,2,14.98,1,Ophthalmology,afternoon,Wednesday,urgent,moderate,1,7.0,0.071,118.57
2,1,9.89,0,Radiology,evening,Monday,normal,routine,0,2.0,0.0,18.18
11,5,22.44,2,Orthopedics,morning,Wednesday,normal,complex,1,2.2,0.182,94.45
12,1,12.32,0,Pediatrics,evening,Tuesday,normal,routine,0,12.0,0.0,147.01
12,5,15.61,0,Gynecology,night,Tuesday,normal,moderate,0,2.4,0.0,31.51
25,4,11.5,0,Gynecology,afternoon,Friday,normal,routine,1,6.25,0.0,94.67
11,1,6.15,1,Pediatrics,morning,Monday,normal,routine,1,11.0,0.091,86.18
15,4,12.39,0,Pediatrics,evening,Thursday,normal,moderate,0,3.75,0.0,49.4
39,5,8.2,0,Radiology,afternoon,Monday,urgent,routine,1,7.8,0.0,65.46
19,1,10.8,1,Orthopedics,morning,Monday,urgent,routine,1,19.0,0.053,228.13
19,3,16.93,1,Neurology,night,Thursday,normal,routine,0,6.33,0.053,115.41
12,1,5.0,0,Dermatology,evening,Wednesday,urgent,routine,0,12.0,0.0,47.87
16,2,8.05,1,Pediatrics,evening,Thursday,normal,routine,0,8.0,0.062,71.93
27,4,5.78,1,Dermatology,evening,Wednesday,urgent,routine,0,6.75,0.037,35.09
12,1,12.27,1,Pediatrics,morning,Sunday,emergency,routine,0,12.0,0.083,87.15
25,1,19.26,1,Neurology,morning,Thursday,normal,routine,1,25.0,0.04,670.89
15,5,15.28,0,Radiology,morning,Wednesday,normal,routine,1,3.0,0.0,57.27
34,5,9.96,0,Ophthalmology,afternoon,Tuesday,normal,routine,1,6.8,0.0,96.07
28,5,12.3,0,Cardiology,morning,Tuesday,normal,routine,1,5.6,0.0,94.19
16,5,13.56,0,Radiology,afternoon,Saturday,normal,moderate,0,3.2,0.0,42.47
21,3,6.0,0,General Medicine,night,Wednesday,normal,routine,0,7.0,0.0,37.95
36,2,16.19,0,Emergency,afternoon,Tuesday,normal,complex,1,18.0,0.0,374.7
27,3,25.52,0,Psychiatry,morning,Thursday,normal,moderate,1,9.0,0.0,284.72
30,2,18.45,1,Psychiatry,afternoon,Monday,normal,routine,1,15.0,0.033,371.89
24,1,29.04,0,Psychiatry,morning,Tuesday,normal,moderate,1,24.0,0.0,846.59
5,5,14.74,0,Gynecology,morning,Sunday,normal,moderate,0,1.0,0.0,13.2
14,4,5.0,2,General Medicine,afternoon,Wednesday,emergency,routine,1,3.5,0.143,14.33
19,3,16.05,1,Neurology,morning,Thursday,emergency,routine,1,6.33,0.053,70.09
14,1,14.95,0,Cardiology,evening,Tuesday,normal,routine,0,14.0,0.0,234.15
14,5,7.49,0,Dermatology,morning,Tuesday,normal,routine,1,2.8,0.0,24.65
1,2,14.35,0,Radiology,morning,Sunday,urgent,moderate,0,0.5,0.0,6.77
11,2,7.1,0,Dermatology,morning,Wednesday,normal,routine,1,5.5,0.0,49.15
24,1,15.64,0,Neurology,morning,Wednesday,urgent,routine,1,24.0,0.0,404.35
8,4,27.64,0,Psychiatry,evening,Monday,normal,moderate,0,2.0,0.0,66.16
19,5,19.53,0,Psychiatry,morning,Monday,normal,routine,1,3.8,0.0,90.36
2,3,13.22,0,Neurology,morning,Saturday,normal,routine,0,0.67,0.0,9.91
16,1,36.82,1,Psychiatry,evening,Monday,normal,complex,0,16.0,0.062,568.61
27,2,24.81,0,Cardiology,morning,Tuesday,urgent,complex,1,13.5,0.0,333.16
12,5,19.23,0,Neurology,morning,Tuesday,normal,routine,1,2.4,0.0,47.76
12,1,21.73,1,Neurology,evening,Monday,normal,moderate,0,12.0,0.083,216.26
17,3,9.19,0,Emergency,morning,Friday,urgent,routine,1,5.67,0.0,51.14
13,2,21.44,0,Neurology,afternoon,Saturday,urgent,moderate,0,6.5,0.0,129.43
28,5,15.17,0,Pediatrics,evening,Thursday,normal,complex,0,5.6,0.0,86.2
25,4,13.63,2,Dermatology,morning,Monday,normal,complex,1,6.25,0.08,126.89
19,3,11.36,0,Dermatology,evening,Wednesday,normal,complex,0,6.33,0.0,71.46
8,2,22.05,1,Neurology,morning,Tuesday,urgent,moderate,1,4.0,0.125,106.08
9,2,14.67,1,Cardiology,evening,Thursday,normal,routine,0,4.5,0.111,70.29
29,4,9.95,1,Gynecology,morning,Friday,normal,routine,1,7.25,0.034,102.29
4,3,19.71,0,Cardiology,evening,Tuesday,normal,moderate,0,1.33,0.0,29.42
20,5,34.17,0,Psychiatry,evening,Thursday,urgent,complex,0,4.0,0.0,118.42
1,5,10.42,1,ENT,morning,Sunday,normal,moderate,0,0.2,1.0,7.23
35,3,20.92,0,Neurology,afternoon,Monday,normal,moderate,1,11.67,0.0,265.02
26,4,13.35,1,Orthopedics,morning,Monday,normal,routine,1,6.5,0.038,112.25
29,2,14.48,2,Dermatology,afternoon,Monday,emergency,moderate,1,14.5,0.069,138.34
7,2,11.8,0,Pediatrics,morning,Saturday,urgent,moderate,0,3.5,0.0,31.85
32,2,8.37,0,ENT,afternoon,Monday,normal,moderate,1,16.0,0.0,171.91
10,1,25.56,1,Psychiatry,afternoon,Sunday,emergency,moderate,0,10.0,0.1,122.83
12,2,10.88,2,Dermatology,afternoon,Saturday,emergency,moderate,0,6.0,0.167,38.98
19,5,8.35,0,Ophthalmology,afternoon,Saturday,normal,routine,0,3.8,0.0,29.06
28,5,5.11,0,ENT,night,Tuesday,normal,routine,0,5.6,0.0,28.18
11,2,10.2,0,Ophthalmology,night,Monday,normal,routine,0,5.5,0.0,60.11
3,2,12.51,2,Emergency,evening,Saturday,emergency,routine,0,1.5,0.667,15.22
14,3,10.5,0,General Medicine,morning,Thursday,normal,moderate,1,4.67,0.0,58.86
28,3,14.75,0,Emergency,night,Thursday,normal,moderate,0,9.33,0.0,124.18
27,4,11.66,0,Radiology,evening,Tuesday,normal,routine,0,6.75,0.0,84.89
9,3,13.03,0,Emergency,night,Wednesday,normal,routine,0,3.0,0.0,41.07
28,4,22.66,0,Neurology,morning,Friday,urgent,moderate,1,7.0,0.0,155.84
21,5,15.29,1,Orthopedics,afternoon,Tuesday,normal,routine,1,4.2,0.048,87.67
5,4,12.28,0,Pediatrics,night,Thursday,normal,moderate,0,1.25,0.0,15.43
19,1,13.48,0,Gynecology,night,Thursday,urgent,routine,0,19.0,0.0,202.33
11,5,6.79,0,ENT,afternoon,Sunday,urgent,routine,0,2.2,0.0,15.54
40,4,13.18,0,General Medicine,afternoon,Friday,urgent,moderate,1,10.0,0.0,137.06
5,1,13.31,0,Radiology,evening,Thursday,normal,routine,0,5.0,0.0,67.23
21,3,21.66,2,Psychiatry,evening,Tuesday,normal,routine,0,7.0,0.095,171.97
25,3,14.29,1,Pediatrics,morning,Tuesday,normal,complex,1,8.33,0.04,161.55
27,4,30.35,1,Psychiatry,afternoon,Wednesday,normal,moderate,1,6.75,0.037,299.05
21,1,27.95,0,Psychiatry,evening,Friday,normal,moderate,0,21.0,0.0,589.36
25,2,14.74,0,Orthopedics,night,Sunday,normal,moderate,0,12.5,0.0,191.95
4,5,11.76,0,Emergency,night,Wednesday,urgent,routine,0,0.8,0.0,8.17
35,2,13.17,0,Pediatrics,morning,Tuesday,normal,routine,1,17.5,0.0,314.92
12,3,14.2,0,Pediatrics,morning,Wednesday,normal,complex,1,4.0,0.0,68.46
8,4,6.83,0,Dermatology,afternoon,Sunday,normal,routine,0,2.0,0.0,13.53
33,2,25.16,0,Neurology,afternoon,Friday,normal,complex,1,16.5,0.0,504.74
24,5,16.4,0,Radiology,morning,Friday,normal,moderate,1,4.8,0.0,98.96
14,1,9.86,0,Emergency,afternoon,Thursday,urgent,routine,1,14.0,0.0,129.24
31,5,14.84,0,Ophthalmology,afternoon,Wednesday,normal,moderate,1,6.2,0.0,119.56
24,1,10.67,1,ENT,evening,Monday,normal,routine,0,24.0,0.042,284.73
14,1,14.5,0,Gynecology,afternoon,Monday,normal,routine,1,14.0,0.0,267.61
28,1,16.69,0,Cardiology,night,Wednesday,normal,routine,0,28.0,0.0,457.09
36,2,27.76,0,Psychiatry,afternoon,Tuesday,normal,moderate,1,18.0,0.0,635.64
17,5,15.1,0,Emergency,morning,Monday,normal,moderate,1,3.4,0.0,57.1
29,2,9.68,1,Radiology,morning,Monday,emergency,routine,1,14.5,0.034,81.99
15,1,8.51,2,General Medicine,afternoon,Wednesday,normal,moderate,1,15.0,0.133,174.24
8,1,21.97,0,Gynecology,evening,Friday,normal,complex,0,8.0,0.0,154.58
24,4,12.34,0,Orthopedics,evening,Monday,normal,routine,0,6.0,0.0,77.64
27,3,23.44,0,Neurology,night,Monday,normal,moderate,0,9.0,0.0,230.16
35,4,11.99,0,Cardiology,afternoon,Monday,normal,routine,1,8.75,0.0,128.0
29,1,11.08,0,ENT,evening,Thursday,normal,moderate,0,29.0,0.0,306.32
20,1,20.23,1,Neurology,afternoon,Sunday,normal,moderate,0,20.0,0.05,377.69
11,1,13.18,1,Emergency,afternoon,Saturday,normal,routine,0,11.0,0.091,143.8
15,5,12.9,0,Orthopedics,evening,Monday,normal,routine,0,3.0,0.0,38.87
19,5,8.18,1,General Medicine,night,Friday,normal,moderate,0,3.8,0.053,38.67
13,1,10.69,2,Orthopedics,night,Saturday,urgent,routine,0,13.0,0.154,98.63
18,5,19.3,1,Orthopedics,morning,Tuesday,normal,moderate,1,3.6,0.056,101.52
13,4,13.6,0,Neurology,evening,Tuesday,normal,routine,0,3.25,0.0,39.46
27,3,13.7,0,Emergency,morning,Tuesday,urgent,routine,1,9.0,0.0,136.94
18,2,13.88,0,Orthopedics,morning,Monday,normal,routine,1,9.0,0.0,156.46
19,3,14.52,0,Gynecology,afternoon,Thursday,normal,routine,1,6.33,0.0,127.48
14,1,14.63,0,Cardiology,afternoon,Monday,normal,routine,1,14.0,0.0,257.93
16,4,12.4,1,General Medicine,afternoon,Wednesday,normal,moderate,1,4.0,0.062,70.76
11,1,6.96,0,Pediatrics,afternoon,Saturday,normal,routine,0,11.0,0.0,78.28
23,5,6.79,0,Dermatology,afternoon,Thursday,urgent,routine,1,4.6,0.0,33.82
11,5,14.88,0,Emergency,morning,Wednesday,urgent,routine,1,2.2,0.0,28.19
30,3,20.89,0,Psychiatry,morning,Friday,normal,routine,1,10.0,0.0,221.99
19,3,7.53,2,Dermatology,morning,Monday,normal,moderate,1,6.33,0.105,66.86
1,1,10.54,0,Ophthalmology,evening,Friday,normal,routine,0,1.0,0.0,9.54
34,2,16.37,1,Cardiology,morning,Tuesday,normal,moderate,1,17.0,0.029,343.09
16,5,14.37,0,ENT,evening,Thursday,normal,moderate,0,3.2,0.0,44.56
9,5,10.64,0,Gynecology,morning,Saturday,normal,routine,0,1.8,0.0,20.2
16,3,11.64,1,Emergency,night,Tuesday,normal,routine,0,5.33,0.062,70.84
6,2,8.51,0,ENT,evening,Thursday,normal,routine,0,3.0,0.0,26.99
8,4,13.36,1,Cardiology,evening,Wednesday,normal,routine,0,2.0,0.125,33.8
36,1,8.2,0,ENT,afternoon,Tuesday,urgent,routine,1,36.0,0.0,337.79
31,5,24.74,0,Psychiatry,morning,Tuesday,normal,moderate,1,6.2,0.0,198.9
9,4,12.53,2,General Medicine,morning,Sunday,emergency,complex,0,2.25,0.222,18.46
35,4,25.21,0,Cardiology,afternoon,Friday,normal,complex,1,8.75,0.0,288.35
29,4,18.85,0,Orthopedics,evening,Sunday,normal,moderate,0,7.25,0.0,148.39
19,3,10.12,0,General Medicine,afternoon,Monday,normal,routine,1,6.33,0.0,74.38
37,4,8.65,1,Radiology,morning,Thursday,urgent,routine,1,9.25,0.027,86.58
27,2,18.42,0,Radiology,night,Tuesday,normal,moderate,0,13.5,0.0,256.67
27,3,16.85,2,Gynecology,night,Friday,normal,routine,0,9.0,0.074,167.55
22,4,5.94,0,ENT,morning,Wednesday,emergency,routine,1,5.5,0.0,16.18
20,5,19.64,0,Cardiology,morning,Monday,normal,moderate,1,4.0,0.0,100.44
26,5,37.43,2,Psychiatry,morning,Monday,emergency,complex,1,5.2,0.077,158.37
15,3,9.06,3,ENT,afternoon,Thursday,emergency,routine,1,5.0,0.2,41.23
15,4,7.83,0,ENT,morning,Thursday,normal,routine,1,3.75,0.0,37.6
24,4,14.7,0,Cardiology,night,Tuesday,normal,routine,0,6.0,0.0,86.72
14,5,9.72,0,Emergency,afternoon,Monday,urgent,routine,1,2.8,0.0,26.45
5,2,12.67,0,Gynecology,night,Monday,urgent,routine,0,2.5,0.0,32.42
13,3,16.62,0,Radiology,morning,Wednesday,normal,moderate,1,4.33,0.0,93.48
11,5,14.51,0,Pediatrics,morning,Tuesday,normal,complex,1,2.2,0.0,37.49
26,4,19.98,0,Cardiology,morning,Friday,urgent,moderate,1,6.5,0.0,133.5
26,5,20.07,0,Psychiatry,afternoon,Saturday,normal,routine,0,5.2,0.0,92.81
1,3,8.98,0,General Medicine,night,Wednesday,normal,moderate,0,0.33,0.0,2.89
29,2,10.36,1,ENT,evening,Sunday,normal,routine,0,14.5,0.034,157.55
35,2,6.75,2,Dermatology,morning,Monday,emergency,moderate,1,17.5,0.057,67.82
20,4,13.28,0,Gynecology,afternoon,Monday,urgent,routine,1,5.0,0.0,63.55
29,3,10.31,0,Ophthalmology,evening,Tuesday,urgent,routine,0,9.67,0.0,91.51
30,3,21.57,0,Orthopedics,morning,Tuesday,normal,complex,1,10.0,0.0,296.04
18,5,9.73,0,General Medicine,morning,Wednesday,normal,routine,1,3.6,0.0,43.99
12,5,13.65,2,Gynecology,morning,Monday,emergency,routine,1,2.4,0.167,25.25
33,2,17.58,1,Emergency,morning,Thursday,urgent,moderate,1,16.5,0.03,298.2
15,5,8.45,0,General Medicine,night,Tuesday,normal,routine,0,3.0,0.0,23.15
28,3,13.42,0,Orthopedics,afternoon,Wednesday,normal,routine,1,9.33,0.0,161.3
37,1,6.78,0,General Medicine,afternoon,Friday,normal,routine,1,37.0,0.0,321.88
23,2,5.0,1,Dermatology,afternoon,Monday,normal,routine,1,11.5,0.043,75.92
4,5,12.82,0,Radiology,afternoon,Sunday,normal,moderate,0,0.8,0.0,9.36
19,5,35.39,0,Psychiatry,afternoon,Monday,normal,complex,1,3.8,0.0,156.28
20,2,16.99,0,Radiology,morning,Monday,normal,moderate,1,10.0,0.0,225.39
4,5,8.58,0,Radiology,night,Monday,normal,routine,0,0.8,0.0,6.55
34,4,17.86,0,Psychiatry,afternoon,Thursday,normal,routine,1,8.5,0.0,193.2
26,4,6.33,0,General Medicine,evening,Tuesday,normal,routine,0,6.5,0.0,35.83
23,2,9.97,0,General Medicine,evening,Friday,normal,moderate,0,11.5,0.0,111.04
16,1,9.82,0,Pediatrics,morning,Monday,normal,routine,1,16.0,0.0,196.54
12,3,10.74,2,Radiology,afternoon,Sunday,urgent,routine,0,4.0,0.167,56.7
36,5,9.65,0,ENT,afternoon,Thursday,normal,routine,1,7.2,0.0,83.31
9,2,15.51,0,Neurology,evening,Thursday,urgent,routine,0,4.5,0.0,57.02
37,3,21.82,0,Neurology,morning,Tuesday,normal,moderate,1,12.33,0.0,279.85
29,4,8.43,1,ENT,evening,Monday,normal,routine,0,7.25,0.034,71.67
9,2,8.64,0,Dermatology,night,Thursday,normal,moderate,0,4.5,0.0,36.4
20,5,7.98,1,General Medicine,afternoon,Wednesday,normal,moderate,1,4.0,0.05,43.63
18,1,14.82,0,Ophthalmology,evening,Wednesday,normal,moderate,0,18.0,0.0,253.25
37,4,7.17,1,Dermatology,morning,Wednesday,urgent,moderate,1,9.25,0.027,70.04
40,5,11.45,0,General Medicine,morning,Tuesday,normal,moderate,1,8.0,0.0,131.44
28,2,10.21,2,Ophthalmology,night,Friday,emergency,routine,0,14.0,0.071,67.48
17,2,8.26,1,General Medicine,afternoon,Thursday,normal,routine,1,8.5,0.059,88.3
22,1,8.64,1,General Medicine,evening,Tuesday,normal,routine,0,22.0,0.045,199.42
22,5,5.32,0,Pediatrics,morning,Thursday,normal,routine,1,4.4,0.0,29.71
3,5,9.24,0,General Medicine,afternoon,Sunday,urgent,routine,0,0.6,0.0,5.03
28,5,11.03,0,Emergency,afternoon,Monday,emergency,routine,1,5.6,0.0,36.63
39,4,10.53,1,Pediatrics,morning,Tuesday,normal,routine,1,9.75,0.026,136.35
22,1,16.17,0,Psychiatry,afternoon,Friday,normal,routine,1,22.0,0.0,443.61
31,2,14.02,0,Orthopedics,afternoon,Wednesday,normal,routine,1,15.5,0.0,287.68
18,1,10.39,1,General Medicine,afternoon,Tuesday,normal,routine,1,18.0,0.056,240.09
4,2,13.65,1,Ophthalmology,night,Monday,normal,moderate,0,2.0,0.25,34.07
37,1,11.97,0,Radiology,morning,Monday,normal,routine,1,37.0,0.0,560.32
29,2,9.98,2,Pediatrics,morning,Thursday,emergency,moderate,1,14.5,0.069,106.86
17,5,5.0,0,Ophthalmology,morning,Saturday,normal,routine,0,3.4,0.0,16.26
3,2,7.48,0,Pediatrics,evening,Thursday,normal,routine,0,1.5,0.0,11.48
24,3,16.68,1,Cardiology,morning,Friday,normal,moderate,1,8.0,0.042,173.52
30,5,11.16,0,Ophthalmology,afternoon,Thursday,normal,routine,1,6.0,0.0,88.04
13,1,20.16,0,Neurology,afternoon,Friday,urgent,moderate,1,13.0,0.0,296.37
28,5,12.55,1,Gynecology,afternoon,Thursday,normal,routine,1,5.6,0.036,92.71
22,3,13.74,0,Cardiology,evening,Monday,normal,routine,0,7.33,0.0,88.8
30,1,8.69,0,Dermatology,morning,Friday,normal,routine,1,30.0,0.0,341.05
8,2,9.34,1,ENT,morning,Sunday,normal,routine,0,4.0,0.125,40.1
26,1,15.52,1,Emergency,morning,Thursday,normal,moderate,1,26.0,0.038,519.99
23,1,10.68,0,Ophthalmology,afternoon,Sunday,normal,routine,0,23.0,0.0,253.71
25,3,14.86,1,Radiology,morning,Saturday,urgent,routine,0,8.33,0.04,121.75
24,2,24.63,0,Gynecology,evening,Saturday,normal,complex,0,12.0,0.0,325.69
20,2,18.96,0,Cardiology,morning,Monday,normal,moderate,1,10.0,0.0,238.0
24,2,13.55,1,Orthopedics,afternoon,Thursday,normal,routine,1,12.0,0.042,206.07
41,4,8.88,0,ENT,morning,Friday,normal,moderate,1,10.25,0.0,118.93
23,4,12.59,1,Radiology,afternoon,Saturday,normal,routine,0,5.75,0.043,70.28
28,5,14.44,0,Gynecology,morning,Thursday,normal,moderate,1,5.6,0.0,89.01
22,5,7.46,0,Dermatology,night,Thursday,urgent,routine,0,4.4,0.0,25.56
8,5,8.16,0,Pediatrics,evening,Friday,urgent,routine,0,1.6,0.0,11.0
18,4,11.35,0,Gynecology,morning,Friday,normal,routine,1,4.5,0.0,71.05
4,4,12.77,0,ENT,evening,Wednesday,normal,moderate,0,1.0,0.0,11.22
23,4,17.33,0,Cardiology,afternoon,Wednesday,normal,moderate,1,5.75,0.0,112.08
3,2,10.96,0,General Medicine,night,Wednesday,normal,moderate,0,1.5,0.0,15.64
26,5,15.76,0,Neurology,afternoon,Thursday,normal,routine,1,5.2,0.0,105.74
28,1,11.12,0,Gynecology,morning,Friday,normal,routine,1,28.0,0.0,433.78
19,1,14.97,0,General Medicine,morning,Tuesday,normal,moderate,1,19.0,0.0,386.02
19,4,10.85,0,Pediatrics,night,Tuesday,urgent,routine,0,4.75,0.0,51.01
14,2,7.19,0,General Medicine,afternoon,Thursday,normal,routine,1,7.0,0.0,60.91
11,4,13.76,0,Radiology,evening,Wednesday,normal,moderate,0,2.75,0.0,37.28
12,4,5.0,1,Dermatology,afternoon,Tuesday,emergency,routine,1,3.0,0.083,9.25
32,4,10.58,0,Dermatology,afternoon,Thursday,normal,moderate,1,8.0,0.0,101.84
29,4,12.17,0,Emergency,morning,Friday,urgent,routine,1,7.25,0.0,91.26
13,2,11.5,0,ENT,evening,Saturday,normal,moderate,0,6.5,0.0,89.25
1,5,6.38,0,Dermatology,afternoon,Sunday,normal,routine,0,0.2,0.0,2.0
27,4,13.99,1,General Medicine,morning,Friday,normal,complex,1,6.75,0.037,123.36
28,5,32.07,0,Psychiatry,morning,Wednesday,normal,moderate,1,5.6,0.0,230.69
29,1,5.0,0,ENT,evening,Friday,normal,routine,0,29.0,0.0,142.29
4,3,16.96,1,Psychiatry,evening,Thursday,normal,routine,0,1.33,0.25,31.88
17,1,21.27,0,Neurology,morning,Friday,normal,moderate,1,17.0,0.0,455.22
39,3,7.68,0,Dermatology,afternoon,Tuesday,normal,moderate,1,13.0,0.0,124.59
24,5,10.32,0,Radiology,afternoon,Tuesday,normal,routine,1,4.8,0.0,58.05
10,1,10.1,0,ENT,evening,Thursday,urgent,moderate,0,10.0,0.0,83.05
19,5,11.29,0,Ophthalmology,evening,Sunday,normal,moderate,0,3.8,0.0,45.61
28,1,12.55,0,Dermatology,morning,Monday,normal,routine,1,28.0,0.0,424.76
3,1,10.43,0,Cardiology,morning,Sunday,urgent,routine,0,3.0,0.0,24.06
29,3,17.08,0,Neurology,evening,Tuesday,normal,routine,0,9.67,0.0,181.12
22,4,14.99,2,Neurology,afternoon,Wednesday,emergency,routine,1,5.5,0.091,61.42
17,3,11.08,1,Gynecology,evening,Monday,urgent,routine,0,5.67,0.059,44.79
17,1,7.23,0,Dermatology,afternoon,Tuesday,normal,routine,1,17.0,0.0,156.12
34,2,23.47,1,Cardiology,afternoon,Monday,normal,complex,1,17.0,0.029,551.27
27,4,18.64,0,Psychiatry,night,Monday,urgent,routine,0,6.75,0.0,97.74
27,4,12.49,1,Pediatrics,afternoon,Monday,urgent,routine,1,6.75,0.037,93.95
17,2,10.68,0,Pediatrics,night,Monday,normal,moderate,0,8.5,0.0,89.2
12,1,18.0,0,Neurology,afternoon,Sunday,normal,routine,0,12.0,0.0,206.74
6,1,17.44,2,Cardiology,afternoon,Sunday,emergency,routine,0,6.0,0.333,72.96
36,3,10.47,1,Ophthalmology,morning,Monday,urgent,routine,1,12.0,0.028,147.53
9,2,8.27,3,General Medicine,morning,Wednesday,emergency,routine,1,4.5,0.333,30.86
27,1,12.0,0,Emergency,afternoon,Friday,normal,routine,1,27.0,0.0,419.58
25,3,8.92,1,ENT,morning,Monday,emergency,routine,1,8.33,0.04,42.87
7,1,12.59,0,Neurology,evening,Wednesday,normal,routine,0,7.0,0.0,91.15
31,5,6.76,1,Pediatrics,afternoon,Friday,emergency,routine,1,6.2,0.032,29.75
38,5,7.96,2,General Medicine,afternoon,Tuesday,emergency,routine,1,7.6,0.053,35.95
43,4,15.97,0,Ophthalmology,afternoon,Tuesday,normal,moderate,1,10.75,0.0,203.37
9,2,6.27,1,General Medicine,night,Tuesday,emergency,routine,0,4.5,0.111,13.95
12,1,15.2,0,Gynecology,morning,Wednesday,normal,routine,1,12.0,0.0,229.64
24,5,10.56,1,Gynecology,morning,Wednesday,normal,routine,1,4.8,0.042,62.54
5,2,12.46,1,Pediatrics,night,Monday,normal,moderate,0,2.5,0.2,36.07
23,3,12.76,1,Emergency,evening,Saturday,normal,routine,0,7.67,0.043,96.49
29,2,14.05,1,Pediatrics,morning,Friday,normal,moderate,1,14.5,0.034,274.74
10,5,7.69,0,Pediatrics,afternoon,Thursday,normal,routine,1,2.0,0.0,19.62
22,5,10.66,0,General Medicine,afternoon,Monday,normal,routine,1,4.4,0.0,59.22
29,5,14.4,0,Gynecology,evening,Friday,normal,routine,0,5.8,0.0,79.79
3,1,14.63,1,Gynecology,morning,Sunday,normal,routine,0,3.0,0.333,50.96
4,4,22.57,0,Neurology,evening,Wednesday,urgent,moderate,0,1.0,0.0,18.0
14,3,8.43,2,Dermatology,afternoon,Monday,emergency,routine,1,4.67,0.143,27.91
21,5,20.46,2,Cardiology,night,Thursday,normal,moderate,0,4.2,0.095,100.01
3,4,23.78,0,Emergency,evening,Tuesday,normal,complex,0,0.75,0.0,16.83
13,1,17.66,0,Psychiatry,night,Saturday,normal,routine,0,13.0,0.0,192.31
